date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51
2024-10-01,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855,81.01443855
2024-10-02,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771,81.1588771
2024-10-03,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565,81.30331565
2024-10-04,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542,81.4477542
2024-10-05,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275,81.59219275
2024-10-06,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313,81.7366313
2024-10-07,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985,81.88106985
2024-10-08,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084,82.0255084
2024-10-09,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695,82.16994695
2024-10-10,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855,82.3143855
