date,Vmax,level,V,perc,Diff.1000,Qin,Qout,Qin_calc,neg_Qin,Qin_calc_interp,Qout_calc,Qin_calc_before_interp
2020-09-12,165.26,419.346,135.739,82.1366331840736%,-1035,12.5558193473193,24.534986013986,12.5558193473194,NA,12.5558193473194,24.534986013986,12.5558193473194
2020-09-13,165.26,419.48,136.453,82.5686796562992%,713.999999999999,12.8264573099415,4.56256842105265,12.8264573099415,NA,12.8264573099415,4.56256842105265,12.8264573099415
2020-09-14,165.26,419.59,137.042,82.9250877405301%,588.999999999999,10.8788761574074,4.06174652777779,10.8788761574074,NA,10.8788761574074,4.06174652777779,10.8788761574074
2020-09-15,165.26,419.39,135.973,82.2782282463996%,-1068.99999999999,7.8490740740743,20.2217592592594,7.84907407407435,NA,7.84907407407435,20.2217592592594,7.84907407407435
2020-09-16,165.26,419.11,134.487,81.3790390899189%,-1486.00000000002,7.33405879305849,24.5331328671328,7.33405879305851,NA,7.33405879305851,24.5331328671328,7.33405879305851
2020-09-17,165.26,418.79,132.802,80.3594336197507%,-1685,7.49294302490639,26.9952578397212,7.49294302490636,NA,7.49294302490636,26.9952578397212,7.49294302490636
2020-09-18,165.26,418.62,131.912,79.8208882972286%,-889.999999999986,7.82200115740753,18.1229270833333,7.82200115740753,NA,7.82200115740753,18.1229270833333,7.82200115740753
2020-09-19,165.26,418.57,131.651,79.6629553430958%,-260.999999999996,8.39006944444451,11.4109027777778,8.39006944444452,NA,8.39006944444452,11.4109027777778,8.39006944444452
2020-09-20,165.26,418.55,131.547,79.6000242042842%,-104.000000000013,8.49443915343901,9.69814285714286,8.494439153439,NA,8.494439153439,9.69814285714286,8.494439153439
2020-09-21,165.26,418.45,131.026,79.2847634031224%,-520.999999999987,7.07804678022986,13.1081393728223,7.07804678022986,NA,7.07804678022986,13.1081393728223,7.07804678022986
2020-09-22,165.26,418.29,130.195,78.7819193997338%,-831.000000000017,11.3250347222219,20.9430902777777,11.3250347222219,NA,11.3250347222219,20.9430902777777,11.3250347222219
2020-09-23,165.26,418.11,129.264,78.2185646859494%,-930.999999999983,12.1350196759261,22.9104826388889,12.1350196759261,NA,12.1350196759261,22.9104826388889,12.1350196759261
2020-09-24,165.26,418.17,129.575,78.4067529952802%,310.999999999979,18.629738425926,15.0302013888889,18.6297384259257,NA,18.6297384259257,15.0302013888889,18.6297384259257
2020-09-25,165.26,417.97,128.545,77.783492678204%,-1030,8.41355092592591,20.3348472222222,8.41355092592589,NA,8.41355092592589,20.3348472222222,8.41355092592589
2020-09-26,165.26,418.127,129.352,78.2718141110977%,807.000000000016,9.35386111111097,0.0135833333333333,9.3538611111113,NA,9.3538611111113,0.0135833333333331,9.3538611111113
2020-09-27,165.26,418.27,130.092,78.7195933680262%,740.000000000009,8.57915856481492,0.01434375,8.57915856481492,NA,8.57915856481492,0.0143437500000001,8.57915856481492
2020-09-28,165.26,418.41,130.818,79.1589011254992%,725.999999999999,8.41649456099455,0.0137167832167831,8.41649456099455,NA,8.41649456099455,0.0137167832167826,8.41649456099455
2020-09-29,165.26,418.39,130.714,79.0959699866876%,-104.000000000013,8.62303587962948,9.82673958333333,8.62303587962947,NA,8.62303587962947,9.82673958333333,8.62303587962947
2020-09-30,165.26,418.22,129.833,78.5628706281012%,-881,6.47784352819724,16.6746027874565,6.47784352819724,NA,6.47784352819724,16.6746027874565,6.47784352819724
2020-10-01,165.26,417.686,127.093,76.9048771632579%,-2739.99999999999,0.0867631781160512,31.7997261410789,0.0867631781159943,NA,0.0867631781159943,31.7997261410789,0.0867631781159943
2020-10-02,165.26,416.834,122.827,74.3234902577756%,-4266.00000000001,2.00595422535222,51.3809542253521,2.00595422535203,NA,2.00595422535203,51.3809542253521,2.00595422535203
2020-10-03,165.26,416.17,119.573,72.3544717414982%,-3254,3.83791782407395,41.4999548611111,3.837917824074,NA,3.837917824074,41.4999548611111,3.837917824074
2020-10-04,165.26,416.246,119.943,72.5783613699625%,370.000000000005,10.913431712963,6.63102430555553,10.913431712963,NA,10.913431712963,6.63102430555553,10.913431712963
2020-10-05,165.26,416.356,120.48,72.9033038847876%,537.000000000006,10.0966006944444,3.88132291666667,10.0966006944445,NA,10.0966006944445,3.88132291666667,10.0966006944445
2020-10-06,165.26,416.23,119.865,72.5311630158538%,-615.000000000009,7.6888368055556,14.8068923611111,7.68883680555544,NA,7.68883680555544,14.8068923611111,7.68883680555544
2020-10-07,165.26,415.813,117.843,71.3076364516519%,-2021.99999999999,5.61182291666651,29.0146006944444,5.61182291666672,NA,5.61182291666672,29.0146006944444,5.61182291666672
2020-10-08,165.26,415.416,115.934,70.1524869901973%,-1909.00000000001,5.63675461349861,27.7316620209059,5.63675461349842,NA,5.63675461349842,27.7316620209059,5.63675461349842
2020-10-09,165.26,414.95,113.714,68.8091492194118%,-2220,5.05811458333324,30.7525590277778,5.05811458333337,NA,5.05811458333337,30.7525590277778,5.05811458333337
2020-10-10,165.26,414.12,109.822,66.4540723708096%,-3892,5.1839859336689,50.2302822299652,5.18398593366895,NA,5.18398593366895,50.2302822299652,5.18398593366895
