date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51
2024-10-01,2.57751473254205,2.5775104414835,2.57750771667998,2.57751935556478,2.57759116735841,2.57750451812932,2.57752522443206,2.57764595135742,2.57753804616925,2.57751277854181,2.57747997767411,2.57749472354116,2.5775414525016,2.57757134895315,2.57752369121289,2.57752445921035,2.57748876714167,2.57749245052041,2.57750839096573,2.57757849061062,2.57750126856157,2.57751085969149,2.57761124346593,2.57750554454786,2.57756876758347,2.57752449134808,2.5775488145325,2.57753164165439,2.57756859517179,2.57755955684005,2.57753220143796,2.57753693390563,2.57746573827098,2.57748741062758,2.57754324930595,2.57751509823886,2.57750185902258,2.57752437617474,2.57750801521509,2.57762161252564,2.57751076030435,2.57757665355847,2.57753534403837,2.57753073132563,2.57753395922209,2.57753743096002,2.57757151786797,2.57760161279033,2.5775396819038,2.5775025526411,2.5775113259017
2024-10-02,2.49010729322441,2.46263425587031,2.52649344139608,2.51160155908898,2.48589982006574,2.48625844014763,2.5547686940011,2.59096957517975,2.48115941894163,2.49964826501931,2.53339863521006,2.54996367788936,2.4947206523805,2.50053898606169,2.56147150284966,2.50228298333526,2.54270558807978,2.48945078893552,2.50320256036988,2.50475745572945,2.50479848218415,2.47572676331805,2.53183323128886,2.50309103909884,2.49533183395038,2.52428041847228,2.50486662713267,2.48978238963709,2.50794867656032,2.57515369774438,2.49439823231857,2.49806085098652,2.5198500389146,2.49726473233316,2.4789312455879,2.52359384357838,2.52966448158902,2.48223684081298,2.56866869355376,2.52085833803557,2.4739674290679,2.54376189283004,2.47268144768376,2.54778917324054,2.55997924861635,2.4924910716429,2.49856325267674,2.49524122506998,2.51174613046385,2.53737564622291,2.52865725443592
2024-10-03,2.59984988304622,2.40885941484326,2.83065135205993,2.79963877708282,2.55799223224394,2.61079777957055,2.95219013186834,3.21189128456106,2.51279752716713,2.6706559573899,2.89969648011338,2.97423335176097,2.59630556726856,2.63225019016173,3.04802645409822,2.6625419727419,2.87974743691671,2.57853539599225,2.70176054663956,2.69634423328267,2.70045188771538,2.53144884908363,2.81817705279689,2.63896320048732,2.63297904450093,2.82083162348318,2.74519829482034,2.565060878652,2.71394592385327,3.10726279518185,2.64958253665059,2.64304641101621,2.73913691663113,2.68508059656323,2.55410352723769,2.76037746007641,2.9318855649643,2.53449186388611,3.04088205765089,2.74150676185493,2.5102886685987,2.88918510660395,2.53893739190093,2.9180703111402,3.01738412685964,2.64374930230349,2.6110398544042,2.62575328852216,2.75222089757051,2.87326476743007,2.79493498138792
2024-10-04,2.74505517121952,2.32674441139228,3.14477864176105,3.38409416905636,2.61650990213174,2.91055510419557,3.08163302713164,3.59171346957964,2.47173066606888,2.91497547538638,3.36985714438052,3.34654602675223,2.61148012873452,2.67353564042209,3.4635082538416,2.79870426604338,2.98690294733007,2.63604448474458,3.00656854972654,2.93920526105913,2.95440115437167,2.7094613420309,2.93569370970576,2.6412338887477,2.81054956716394,3.14919818089015,3.23542679628399,2.55561791087658,2.95775857936976,3.42169799726007,2.93085954498822,2.79541163490422,2.78032203979757,3.06564620724552,2.76519480162514,2.80974370385694,3.69761780043842,2.5661292789815,3.20856188061542,2.78417263516768,2.62948568997671,3.0226564982683,2.83613934901248,3.07573964926143,3.32133761444133,2.94740113530503,2.6028055986861,2.77379279281816,3.08250348739048,3.09627045595447,2.87502559981161
2024-10-05,2.6907615854864,2.21706772512013,3.09971653664188,3.49238958068651,2.532674566314,2.9320099329995,2.90827336891451,3.44513482050804,2.35326789742729,2.8880271237823,3.37958846988123,3.28012152829162,2.49550370776582,2.55961707603156,3.39196074364344,2.72058710688021,2.82681576730759,2.54497845592511,3.00028856246681,2.9036213655228,2.92257028981413,2.6930524010957,2.80056720126416,2.50635082846967,2.76273825645018,3.11465441436162,3.31263597267645,2.43709516454763,2.91702845495348,3.28110250826654,2.93020170434087,2.73120822456152,2.63313511248438,3.10467147360266,2.75874032633947,2.65982698692972,3.85456313354256,2.47589115847693,3.02313734693737,2.63818672351453,2.58934575729771,2.8719889497019,2.88005872581615,2.92674021211889,3.20707669534241,2.96028516905845,2.47167857108313,2.71367762239312,3.07241712240393,2.9924574974022,2.72930418555554
2024-10-06,2.55103885460903,2.11480234573155,2.92373779930587,3.27819784651416,2.40634165941025,2.77110685565124,2.74930350439534,3.23720191283898,2.24111102889839,2.73104619963989,3.17673536140423,3.0866914416938,2.37205402089639,2.43135170543978,3.18784512518173,2.57826311592298,2.67537240279712,2.41702342679653,2.83315653735066,2.74576488413238,2.76257434838879,2.55319200654466,2.65199013306562,2.38141078573113,2.61761762183481,2.93715282380393,3.11646835166038,2.31828141863806,2.75824531325991,3.08789710372294,2.77006185243905,2.58771645189741,2.49743156106193,2.92780687947203,2.61313607727147,2.52168670844881,3.60288679006118,2.35396795716948,2.85359599401736,2.5033357040663,2.45789830233025,2.71683229891704,2.72380262233676,2.76679401357721,3.02091475422221,2.79722643949296,2.35011236948708,2.57288476435283,2.89876895956038,2.82644657567412,2.58645793188022
2024-10-07,2.42191642357726,2.0192204972289,2.7625505410286,3.0835531266557,2.28901898295872,2.62321909481173,2.60311730686376,3.04836793759505,2.13658250610539,2.58654701659784,2.99210225726169,2.91010456263461,2.25738936654233,2.31228483239802,3.00189262673112,2.44669526371533,2.53584298225036,2.29837260332234,2.6797835346349,2.60045450057832,2.61545962885649,2.42390889385192,2.51479681410998,2.26548073220486,2.48349259361638,2.77451143772971,2.93747418664931,2.20776707978565,2.61223738154513,2.9115167527094,2.62275972812126,2.45509639474339,2.37190675836185,2.76590000780445,2.47866894282341,2.39398966192231,3.37593233446688,2.24072767472753,2.69808644995856,2.37843360922529,2.33609398792169,2.573862110091,2.57994118077757,2.61965960236521,2.85073356960119,2.64736541718176,2.2371107135885,2.44267569215446,2.7395260761196,2.6739940144464,2.45467573346275
2024-10-08,2.30247786724595,1.92990661719852,2.61483714218308,2.90619729989971,2.18013883925032,2.51148729878255,2.46852768240207,2.87728109404386,2.03919779993476,2.45353376814365,2.82382339961314,2.74880027445,2.15087129408791,2.20165740218632,2.8320265816222,2.48146995319097,2.40730886120596,2.18830695380213,2.57336184712016,2.48337082077977,2.47993504556058,2.36122790680083,2.38802517079583,2.15791805002952,2.35936713294088,2.62528210970713,2.77403969228568,2.10495089813571,2.47842992363216,2.75045023289755,2.48707829526989,2.33264936143021,2.25566240577485,2.63488495166465,2.35443987629279,2.31830062435628,3.2869949286201,2.18605410200016,2.77609902950572,2.36797076803797,2.22317252841411,2.44212088268428,2.44757367977643,2.48409451298796,2.7230511265102,2.538824112011,2.13209753131975,2.33656202264742,2.62948911720842,2.53388810262115,2.33340802524316
2024-10-09,2.19216820416203,1.98452722065407,2.67335863741681,2.76949386842121,2.09841009449976,2.49489108529272,2.34442868990405,2.72207310009276,2.00601423801954,2.34567044519078,2.69888982059907,2.60149641808716,2.05193737422186,2.09878648038274,2.67682661938954,3.25850435501384,2.28902870343076,2.08619762960369,2.60012782099978,2.49865753759221,2.40031259690892,2.51417333174403,2.39029236184749,2.09096760537484,2.27420073855547,2.48830377219474,2.66165154010493,2.00935663043854,2.36629921671329,2.60318367631986,2.37131768771754,2.21964872970031,2.14817527569752,2.57535661202763,2.26185088301348,2.41621099869834,3.72311015035448,2.3231752637968,3.80880266304508,2.77402933018194,2.14654343442704,2.32105089465747,2.58916879368786,2.37088486692524,2.70587928005288,2.54438213233815,2.0346377420058,2.3284594983269,2.81508479057077,2.40536117037921,2.22142852204863
2024-10-10,2.08992395008613,2.62532803639419,3.55602310783526,2.73403185144125,2.09173190985693,2.42606631444248,2.22992217568097,2.57968418921897,2.19362173124651,2.29665035082012,2.776270346983,2.46673813844055,1.9601714412771,2.00312646003073,2.53521564650879,4.35562307001211,2.17967310830973,1.99126909637761,2.54770169821956,2.71834387959935,2.49226141624271,2.52905111523842,2.87227505446174,2.14922216403585,2.30280011098805,2.36242049824369,2.6923699317404,1.92023307374898,2.3006606249433,2.46829328953001,2.29700244475118,2.12362266349134,2.04879031652152,2.48241708855934,2.2554907694702,2.45651612840219,4.15464652045288,2.33752951160661,4.30661375319945,2.91605165141909,2.1762830378833,2.20953353573923,4.1304086891213,2.94299941612411,2.62746338619699,2.48416678066321,1.94387928284135,2.43597223498338,3.56223063336333,2.28739977853995,2.12292938303801
2024-10-11,1.99486719606956,3.04314224280714,4.00810378266202,2.64558414404879,2.04218059778948,2.40318939255216,2.12387760366008,2.44822489019953,2.23993715373538,2.23582316506621,3.12910019373919,2.3427030863418,1.874733214157,1.91445908695406,2.41227722527308,4.02406725794841,2.07813393530159,1.90272714309686,2.41801309182031,2.73692364632115,2.47619556571044,2.40395450486936,3.07105634238762,2.12956256298313,2.26268975010275,2.24632556891855,2.63742226911355,1.83691382450991,2.2163123981926,2.3441927627671,2.20781522406429,2.06475936296201,1.95649781373624,2.35758791402611,2.20028985284718,2.36195042283235,4.05578029740914,2.23684487194159,3.97261169761636,2.75474374566068,2.14136565217998,2.10612229691909,5.33062345343338,10.8664361361064,2.49029950342871,2.35982102124013,1.85905437212171,2.41290565497605,3.80024707068106,2.17840517326897,2.05081939419642
2024-10-12,1.90638784029662,2.78639636398454,4.0347653046824,2.50678949311516,2.02067103989385,2.75877401015171,2.02543421978352,2.32679441450835,2.1343094164574,2.20369403423581,3.1808368331139,2.2280219034736,1.79486898904219,1.83217264985581,2.32203892028333,3.76887466902419,1.98393437078699,1.82004052375291,2.29849125032718,2.59104360067628,2.35148939788218,2.297287904922,2.97470811023637,2.03178321321379,2.15490788537186,2.13879781253356,2.6065370301661,1.75900243259082,2.11375684678347,2.24282372774705,2.10432176158842,1.99130034102896,1.87044383679533,2.2419957086971,2.09751911075106,2.24631925262243,3.77934460617047,2.18767992727873,3.7039946583349,2.60736232093707,2.04255808788789,2.00996747112987,4.28986267818233,15.8453723012962,2.36373790672555,2.24463073442991,1.77965149151738,2.3476610224821,3.55139171969659,2.07718267704453,1.97182194953226
2024-10-13,1.82398883999423,2.75589550325175,3.91353625256064,2.37974532888128,2.28396026751459,2.87302657378253,1.93402592595513,2.21461173185141,2.04599290405868,2.13889153235893,2.9947469379645,2.12195079675412,1.72034724371337,1.7553409118911,2.22496823170981,3.60413056561045,1.90330206765433,1.74280765409804,2.18803266857483,2.45674126479494,2.23632837238119,2.19408014214203,2.84827951669485,1.94091722961681,2.05854918013824,2.09546164813728,3.01179055817703,1.68616267000214,2.01804907350761,2.19519753500256,2.00804592086017,1.90679317159909,1.79015440449281,2.13487389148753,2.00200101390455,2.13928608324105,3.54284459186817,2.11431341504401,3.46328588713357,2.4720878352249,1.95079825390294,1.92071549786668,3.98644561906717,11.0653848472531,2.25829856913184,2.1377452383795,1.70526197052664,2.51193346674526,3.32832393348484,1.98292975016082,1.88602679234716
